ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_symbols
GO:0141060,disruption of anatomical structure in another organism,Sep-97,115/18842,0.07826087,15.20197221,10.98901062,7.81E-09,4.87E-07,3.55E-07,6373/3627/2919/10563/6364/6355/2921/3576/2920,9,CXCL11/CXCL10/CXCL1/CXCL13/CCL20/CCL8/CXCL3/CXCL8/CXCL2
GO:0002688,regulation of leukocyte chemotaxis,Sep-97,118/18842,0.076271186,14.81548139,10.82936095,9.80E-09,5.94E-07,4.33E-07,3627/1236/6351/10563/6347/1843/7130/7422/3576,9,CXCL10/CCR7/CCL4/CXCL13/CCL2/DUSP1/TNFAIP6/VEGFA/CXCL8
GO:0045785,positive regulation of cell adhesion,14/97,437/18842,0.032036613,6.22302956,7.946765741,5.13E-08,3.03E-06,2.21E-06,6714/3690/1236/10563/3084/29126/259307/6347/3586/7412/8013/10148/7422/941,14,SRC/ITGB3/CCR7/CXCL13/NRG1/CD274/IL4I1/CCL2/IL10/VCAM1/NR4A3/EBI3/VEGFA/CD80
GO:0072676,lymphocyte migration,Aug-97,103/18842,0.077669903,15.08717846,10.3125138,5.86E-08,3.36E-06,2.45E-06,6373/3627/3690/1236/6351/10563/6364/6347,8,CXCL11/CXCL10/ITGB3/CCR7/CCL4/CXCL13/CCL20/CCL2
GO:0007259,cell surface receptor signaling pathway via JAK-STAT,Sep-97,146/18842,0.061643836,11.97415619,9.575651567,6.29E-08,3.52E-06,2.57E-06,602/6775/9021/958/6347/3586/54625/10148/3456,9,BCL3/STAT4/SOCS3/CD40/CCL2/IL10/PARP14/EBI3/IFNB1
GO:0050920,regulation of chemotaxis,Oct-97,196/18842,0.051020408,9.91058279,9.020620762,6.76E-08,3.69E-06,2.69E-06,3627/1236/6351/10563/6347/1843/7130/4233/7422/3576,10,CXCL10/CCR7/CCL4/CXCL13/CCL2/DUSP1/TNFAIP6/MET/VEGFA/CXCL8
GO:0030593,neutrophil chemotaxis,Jul-97,75/18842,0.093333333,18.12975945,10.69250811,1.15E-07,6.11E-06,4.45E-06,3627/1236/10563/5142/2921/7130/3576,7,CXCL10/CCR7/CXCL13/PDE4B/CXCL3/TNFAIP6/CXCL8
GO:0022407,regulation of cell-cell adhesion,14/97,472/18842,0.029661017,5.761576096,7.536371005,1.32E-07,6.88E-06,5.01E-06,6714/1236/10563/654/29126/259307/6347/3586/7412/8013/10148/7422/941/3456,14,SRC/CCR7/CXCL13/BMP6/CD274/IL4I1/CCL2/IL10/VCAM1/NR4A3/EBI3/VEGFA/CD80/IFNB1
GO:0097696,cell surface receptor signaling pathway via STAT,Sep-97,172/18842,0.052325581,10.16410933,8.685152443,2.56E-07,1.30E-05,9.48E-06,602/6775/9021/958/6347/3586/54625/10148/3456,9,BCL3/STAT4/SOCS3/CD40/CCL2/IL10/PARP14/EBI3/IFNB1
GO:0050679,positive regulation of epithelial cell proliferation,Sep-97,174/18842,0.051724138,10.04728048,8.624598808,2.83E-07,1.40E-05,1.02E-05,1960/374/3690/654/283131/3586/8013/3164/7422,9,EGR3/AREG/ITGB3/BMP6/NEAT1/IL10/NR4A3/NR4A1/VEGFA
GO:0022409,positive regulation of cell-cell adhesion,Nov-97,297/18842,0.037037037,7.194348988,7.74026082,3.71E-07,1.80E-05,1.31E-05,6714/1236/10563/29126/259307/6347/3586/7412/8013/10148/941,11,SRC/CCR7/CXCL13/CD274/IL4I1/CCL2/IL10/VCAM1/NR4A3/EBI3/CD80
GO:1903131,mononuclear cell differentiation,13/97,439/18842,0.029612756,5.752201583,7.247328069,3.94E-07,1.87E-05,1.36E-05,3624/1236/1440/3665/54567/6775/259307/9021/3586/7412/7422/941/3456,13,INHBA/CCR7/CSF3/IRF7/DLL4/STAT4/IL4I1/SOCS3/IL10/VCAM1/VEGFA/CD80/IFNB1
GO:0002690,positive regulation of leukocyte chemotaxis,Jul-97,92/18842,0.076086957,14.7796952,9.530770428,4.72E-07,2.12E-05,1.55E-05,3627/1236/6351/10563/6347/7422/3576,7,CXCL10/CCR7/CCL4/CXCL13/CCL2/VEGFA/CXCL8
GO:0071677,positive regulation of mononuclear cell migration,Jul-97,92/18842,0.076086957,14.7796952,9.530770428,4.72E-07,2.12E-05,1.55E-05,3627/3690/1236/6351/10563/6364/6347,7,CXCL10/ITGB3/CCR7/CCL4/CXCL13/CCL20/CCL2
GO:0050921,positive regulation of chemotaxis,Aug-97,135/18842,0.059259259,11.51095838,8.816622522,4.77E-07,2.12E-05,1.55E-05,3627/1236/6351/10563/6347/4233/7422/3576,8,CXCL10/CCR7/CCL4/CXCL13/CCL2/MET/VEGFA/CXCL8
GO:1990266,neutrophil migration,Jul-97,93/18842,0.075268817,14.62077375,9.47216639,5.08E-07,2.22E-05,1.62E-05,3627/1236/10563/5142/2921/7130/3576,7,CXCL10/CCR7/CXCL13/PDE4B/CXCL3/TNFAIP6/CXCL8
GO:0071675,regulation of mononuclear cell migration,Aug-97,138/18842,0.057971014,11.26072016,8.702524586,5.64E-07,2.41E-05,1.76E-05,3627/3690/1236/6351/10563/6364/6347/1843,8,CXCL10/ITGB3/CCR7/CCL4/CXCL13/CCL20/CCL2/DUSP1
GO:0050678,regulation of epithelial cell proliferation,Nov-97,312/18842,0.03525641,6.848466825,7.493362415,6.04E-07,2.54E-05,1.85E-05,1960/374/3690/54567/654/283131/6347/3586/8013/3164/7422,11,EGR3/AREG/ITGB3/DLL4/BMP6/NEAT1/CCL2/IL10/NR4A3/NR4A1/VEGFA
GO:0035767,endothelial cell chemotaxis,May-97,33/18842,0.151515152,29.43142768,11.75893269,6.90E-07,2.84E-05,2.07E-05,1960/10563/4233/3164/7422,5,EGR3/CXCL13/MET/NR4A1/VEGFA
GO:2000401,regulation of lymphocyte migration,Jun-97,65/18842,0.092307692,17.93053132,9.835790784,1.03E-06,4.16E-05,3.03E-05,3627/3690/6351/10563/6364/6347,6,CXCL10/ITGB3/CCL4/CXCL13/CCL20/CCL2
GO:0072678,T cell migration,Jun-97,68/18842,0.088235294,17.13947847,9.59092878,1.35E-06,5.31E-05,3.87E-05,6373/3627/3690/10563/6364/6347,6,CXCL11/CXCL10/ITGB3/CXCL13/CCL20/CCL2
